epoch,train_loss_total,train_loss_det,train_loss_enh,train_w_det,train_w_enh,epoch_duration,val_loss_total,val_loss_det,val_loss_enh,val_psnr,val_ssim,val_prec_prox,val_mAP50,val_mAP,val_recall,lr_backbone,lr_det,lr_dec
0,76.68736720907278,76.56974989194481,0.12901813512358545,1.0000024647174584,1.0128847980947704,267.823593378067,50.88132657502827,50.84280435662521,0.06766299168138128,15.89573393369976,0.67358464,0.04446732625365257,0.04446732625365257,0.04446732625365257,0.2130281776189804,1.0434064616132949e-05,1.0434064616132949e-05,0.00010434064616132938
1,41.30898090589756,41.329122546324534,0.04732317675115266,1.0000071686263368,1.0738814480626098,195.41508722305298,35.12804011294716,35.22229847155119,0.027804431064348472,26.15685749053955,0.8814261,0.1324470043182373,0.1324470043182373,0.1324470043182373,0.4116964042186737,2.801137565267452e-05,2.801137565267452e-05,0.00028011375652674513
2,29.799675056553188,29.975798146478063,0.0321654325794884,1.000019967182303,1.2440351320658358,193.8979365825653,29.28844343988519,29.570937809191253,0.03261185515868036,25.55700713709781,0.89932436,0.18927234411239624,0.18927234411239624,0.18927234411239624,0.47158291935920715,5.20197016518341e-05,5.20197016518341e-05,0.000520197016518341
3,24.462231105397862,24.895916597970228,0.02801519186384859,1.000039126805751,1.6234240272202087,194.22504210472107,25.906855633384303,26.50854748173764,0.026264193320744915,27.22516918182373,0.9157204,0.2296081930398941,0.2296081930398941,0.2296081930398941,0.5774607062339783,7.602274591345429e-05,7.602274591345429e-05,0.0007602274591345429
4,21.172488411392163,21.969718738783115,0.025554107547355202,1.0000429459873785,2.377931869142108,194.05908918380737,24.54480447267231,25.546167524237383,0.02636177739814708,27.31344233061138,0.9174877,0.22555427253246307,0.22555427253246307,0.22555427253246307,0.4703618586063385,9.358562769740331e-05,9.358562769740331e-05,0.0009358562769740331
5,18.708296677161908,19.929128261195455,0.02522913512969419,1.0000548056300531,3.765751156313666,193.88146829605103,23.938754847175197,25.39179832056949,0.02209982109305106,28.45670755285966,0.87787443,0.2339516282081604,0.2339516282081604,0.2339516282081604,0.5394891500473022,9.999999979212171e-05,9.999999979212171e-05,0.0009999999979212171
6,16.585383422696104,18.23766697611555,0.023594561771586024,1.0000532517986238,6.0900826768067935,194.4063584804535,22.428348842420075,24.267399838096217,0.025333790941850134,27.788500685440866,0.92133313,0.27719196677207947,0.27719196677207947,0.27719196677207947,0.498312383890152,9.99151429413104e-05,9.99151429413104e-05,0.0009991514294131038
7,14.904849098020213,16.953493224416032,0.02208835527382581,1.0000559483949667,9.71133204537873,193.99067091941833,21.641578097092477,23.89553757717735,0.01955052945566805,29.212633383901494,0.92453796,0.24754109978675842,0.24754109978675842,0.24754109978675842,0.46955886483192444,9.96613897237883e-05,9.96613897237883e-05,0.000996613897237883
8,13.657198584565549,16.046700475357916,0.020864015001348192,1.0000564426090277,15.08623021523407,194.1663854122162,21.419449680729915,23.956731545297725,0.02024005279925309,28.956364230105752,0.9237337,0.2289092093706131,0.2289092093706131,0.2289092093706131,0.4497998058795929,9.923959876011988e-05,9.923959876011988e-05,0.0009923959876011988
9,12.64524240777784,15.255720592965153,0.02172603559327023,1.0000738970538292,22.040936481990038,194.62165236473083,21.235607222506875,23.88046616002133,0.023486827255079622,28.07850375928377,0.9263394,0.2635081708431244,0.2635081708431244,0.2635081708431244,0.4451582431793213,9.86511972574114e-05,9.86511972574114e-05,0.000986511972574114
10,11.83066129011794,14.662179985763885,0.01923816818685554,1.000062219775209,30.87665011068123,194.48599576950073,20.466014962447318,23.33299119848954,0.01981814264466888,29.068791640432256,0.92890084,0.2718311548233032,0.2718311548233032,0.2718311548233032,0.4606304466724396,9.78981761800939e-05,9.78981761800939e-05,0.000978981761800939
11,11.274363549899158,14.164180440215107,0.019862405808356395,1.0000671835902342,39.9957130874586,195.03521704673767,20.580075791007594,23.558661837326852,0.018243360651755018,29.68479437577097,0.93051463,0.28119122982025146,0.28119122982025146,0.28119122982025146,0.4384647011756897,9.698308351312983e-05,9.698308351312983e-05,0.0009698308351312981
12,10.789381564597726,13.730937038469465,0.019310438322329596,1.0000731317227163,46.62239218206615,194.61384344100952,20.893664510626543,23.959412072834215,0.016907318470705496,29.968858016164678,0.9318213,0.2558022439479828,0.2558022439479828,0.2558022439479828,0.4211258292198181,9.590901564043844e-05,9.590901564043844e-05,0.0009590901564043844
13,10.358080080684076,13.358150089048667,0.01826592748342403,1.00006880038958,52.069429570978336,194.7133023738861,20.44650313728734,23.4806093165749,0.017679121712908932,29.88063937739322,0.93216074,0.24528293311595917,0.24528293311595917,0.24528293311595917,0.3819032311439514,9.467960686771277e-05,9.467960686771277e-05,0.0009467960686771276
14,10.022260156171075,13.043965828456102,0.017894945285490314,1.0000715472481467,56.020205907313425,194.9419732093811,20.647052614312422,23.713545046354596,0.017131251430040913,29.983851834347373,0.93254334,0.2604093849658966,0.2604093849658966,0.2604093849658966,0.37051793932914734,9.329901712507953e-05,9.329901712507953e-05,0.0009329901712507952
15,9.751775041269285,12.758281151702786,0.018168258788735608,1.0000751145581093,56.26064124750119,194.91524696350098,20.287656056253535,23.28794426667063,0.01829341247579769,29.828127108122175,0.9332899,0.25540488958358765,0.25540488958358765,0.25540488958358765,0.3911668658256531,9.17719178912124e-05,9.17719178912124e-05,0.0009177191789121239
16,9.466244339569235,12.495848201285336,0.01774916364621593,1.0000611650158993,58.324480421490804,195.3263964653015,20.66167183926231,23.760759278347617,0.016508695669472218,30.125836322182103,0.93294364,0.27220651507377625,0.27220651507377625,0.27220651507377625,0.3865463435649872,9.010347638652695e-05,9.010347638652695e-05,0.0009010347638652694
17,9.218730222468839,12.240387060051802,0.017889448393393178,1.0000512611155974,58.54894825806812,195.2143018245697,20.545731732719823,23.561441572088945,0.017955277409208447,29.811241149902344,0.9328608,0.27716919779777527,0.27716919779777527,0.27716919779777527,0.3907660245895386,8.829933808894233e-05,8.829933808894233e-05,0.0008829933808894232
18,8.970830554872471,12.026009338402822,0.01729017224156978,1.0000589357274454,61.064401148254966,195.3133454322815,20.972283124923706,23.87250072077701,0.019871140389065994,29.00745984127647,0.9288939,0.27138957381248474,0.27138957381248474,0.27138957381248474,0.3991216719150543,8.636560763137103e-05,8.636560763137103e-05,0.0008636560763137102
19,8.76340167574748,11.825893461891102,0.017178930095499118,1.0000653444412733,60.43566543555185,194.91737461090088,20.290124880640132,23.390545594064815,0.01648948062211275,30.175222095690277,0.9332258,0.26525381207466125,0.26525381207466125,0.26525381207466125,0.3711928427219391,8.430882814557354e-05,8.430882814557354e-05,0.0008430882814557352
20,8.544457414680888,11.632268201594815,0.016746396613438675,1.0000545586164469,62.293190947147,194.84591102600098,20.445560781579267,23.559211655666953,0.01634331226446911,30.18104668667442,0.9335877,0.24688206613063812,0.24688206613063812,0.24688206613063812,0.3716433644294739,8.213595912227161e-05,8.213595912227161e-05,0.000821359591222716
21,8.378637524607788,11.452602932819378,0.016971639126866216,1.0000569734453781,62.13857335655667,194.85309958457947,20.33428448124936,23.45221978739688,0.016229984497553425,30.272538436086553,0.93487185,0.24009211361408234,0.24009211361408234,0.24009211361408234,0.3494051396846771,7.985435286243461e-05,7.985435286243461e-05,0.000798543528624346
22,8.191864373168228,11.296489998090978,0.01647152565419674,1.000052280000011,63.25229210091235,195.09346318244934,20.611313092081172,23.71719415564286,0.016419464648750267,30.266968827498587,0.93452746,0.25787004828453064,0.25787004828453064,0.25787004828453064,0.3720768094062805,7.747172959942041e-05,7.747172959942041e-05,0.0007747172959942039
23,8.042068522178267,11.139714139382294,0.016586867441367767,1.000051549235855,62.552386729321135,195.32426404953003,20.42032207940754,23.48762125717966,0.017040445591862265,30.025117773758737,0.9347923,0.26515668630599976,0.26515668630599976,0.26515668630599976,0.4192226529121399,7.499615137614942e-05,7.499615137614942e-05,0.000749961513761494
24,7.871198000205348,10.957032105018353,0.01676740232113527,1.0000493887076183,63.48838979547674,195.30584502220154,20.374191798661883,23.335254593899375,0.018778540684204353,29.6326366223787,0.93389606,0.25927260518074036,0.25927260518074036,0.25927260518074036,0.3532260060310364,7.243599476570338e-05,7.243599476570338e-05,0.0007243599476570337
25,7.716535125032862,10.821789118189796,0.016467023128497658,1.0000386056855182,62.944953266729755,195.35761976242065,,23.297384613438656,,,,0.24121303856372833,0.24121303856372833,0.24121303856372833,0.34693312644958496,6.97999225276536e-05,6.97999225276536e-05,0.0006979992252765359
26,7.525486030548717,10.687188955683693,0.015570363172893427,1.000044826616688,63.42055881583952,195.4406659603119,20.63766346479717,23.68058721642745,0.017413428494412648,29.68741542414615,0.93314177,0.24915283918380737,0.24915283918380737,0.24915283918380737,0.34771066904067993,6.709685429602461e-05,6.709685429602461e-05,0.0006709685429602461
27,7.372012942188586,10.553814538967647,0.015261077746854026,1.000045180881285,65.84929366395765,195.11712217330933,20.22536651711715,23.313980202925833,0.016680128014597454,30.163970244558232,0.9341087,0.24072770774364471,0.24072770774364471,0.24072770774364471,0.32954251766204834,6.433593639807621e-05,6.433593639807621e-05,0.000643359363980762
28,7.2151965612901785,10.40385407115972,0.015158450209059779,1.0000414179410306,65.62176661954778,195.73332905769348,20.09181587319625,23.22191195738943,0.01599861911841129,30.396509923433,0.9345977,0.24615003168582916,0.24615003168582916,0.24615003168582916,0.3432995080947876,6.152651090602707e-05,6.152651090602707e-05,0.0006152651090602706
29,7.1158975885953275,10.288708510443708,0.015398543249220123,1.0000370589543286,66.40219153281663,196.27299690246582,20.312568777485897,23.4139464779904,0.01643551216999951,30.297199299460964,0.93494874,0.26104748249053955,0.26104748249053955,0.26104748249053955,0.3580683767795563,5.867808402643962e-05,5.867808402643962e-05,0.000586780840264396
30,6.98137407243065,10.177912334663366,0.015041191227220255,1.0000369053649305,66.8484220116116,195.65303230285645,20.10172774917201,23.189301440590306,0.016619373161933924,30.272733688354492,0.93471646,0.24666312336921692,0.24666312336921692,0.24666312336921692,0.33685359358787537,5.580029393422612e-05,5.580029393422612e-05,0.0005580029393422611
31,6.845596336645766,10.053412391100558,0.014873086600374652,1.000030196572546,68.04872189943319,195.74958515167236,20.22915832619918,23.289165120375785,0.01707148917117401,30.162270796926396,0.9347596,0.24264906346797943,0.24264906346797943,0.24264906346797943,0.3451397716999054,5.290287816011565e-05,5.290287816011565e-05,0.0005290287816011565
32,6.71826008831072,9.940626117503008,0.014659343748630775,1.000027107220832,68.30303778095305,195.77146410942078,20.180075143512926,23.283445659436676,0.016405380747624133,30.28907881285015,0.9349329,0.24985431134700775,0.24985431134700775,0.24985431134700775,0.34754833579063416,4.999564064193245e-05,4.999564064193245e-05,0.0004999564064193245
33,6.596230361155208,9.84651317417061,0.014254030834322907,1.00002629106695,68.92400519152794,248.718323469162,20.165910645535117,23.276826456973428,0.01625083732467733,30.31138741342645,0.9356142,0.2334081381559372,0.2334081381559372,0.2334081381559372,0.3085334897041321,4.708841855117373e-05,4.708841855117373e-05,0.00047088418551173724
34,6.502419569649293,9.73384613004224,0.014527268595351228,1.0000228818307475,69.68810810340236,199.98809957504272,20.322849524648564,23.433658198306436,0.01625258014782479,30.360411894948857,0.9352433,0.24690784513950348,0.24690784513950348,0.24690784513950348,0.3331030607223511,4.419104900713516e-05,4.419104900713516e-05,0.0004419104900713515
35,6.36986867948012,9.622546642925299,0.01422129615084458,1.0000302561771908,69.49280019538904,195.95004177093506,20.421045303344727,23.54943727192126,0.01599706819673118,30.40749750639263,0.9355051,0.22809523344039917,0.22809523344039917,0.22809523344039917,0.32203409075737,4.1313335791213014e-05,4.1313335791213014e-05,0.0004131333579121301
36,6.272727583643038,9.536208664735657,0.014070363890461414,1.0000207700699475,70.45162723505385,195.61935257911682,20.20425175365649,23.33891715501484,0.015883029512080708,30.461872552570544,0.93568116,0.24289172887802124,0.24289172887802124,0.24289172887802124,0.3343905210494995,3.846501617401141e-05,3.846501617401141e-05,0.00038465016174011403
37,6.177359251393046,9.43403007094763,0.01416580692856196,1.0000201355327258,70.83635364879261,196.10226798057556,20.325118428782414,23.426751437940094,0.01635629553837996,30.370760917663574,0.935373,0.24403679370880127,0.24403679370880127,0.24403679370880127,0.32751792669296265,3.56557279675006e-05,3.56557279675006e-05,0.00035655727967500594
38,6.063003918220257,9.341108144263863,0.013864750914030407,1.0000194701655158,71.23145468780613,195.89932012557983,20.04176207592613,23.202950276826556,0.015492881403157585,30.54885186647114,0.93588126,0.24417759478092194,0.24417759478092194,0.24417759478092194,0.3218110501766205,3.289497691371221e-05,3.289497691371221e-05,0.00032894976913712203
39,6.000710840882926,9.263510704040527,0.014080593979926226,1.0000157612244538,71.24199357227099,195.4094820022583,20.240234400096693,23.39892733724494,0.015549017116427422,30.526223935578997,0.93606263,0.23115459084510803,0.23115459084510803,0.23115459084510803,0.3068719208240509,3.0192104520317096e-05,3.0192104520317096e-05,0.00030192104520317093
40,5.9235301795050646,9.181668792025048,0.014145784239141639,1.0000165738282158,70.77039515336853,196.1073169708252,20.179856726997777,23.27571095918354,0.016429458303671134,30.357810171026934,0.9352713,0.2336501181125641,0.2336501181125641,0.2336501181125641,0.3116573095321655,2.755625645192047e-05,2.755625645192047e-05,0.00027556256451920463
41,5.821684720747897,9.098341920906474,0.013886315951001215,1.0000122116650907,71.45169753789155,196.07695770263672,20.24835097162347,23.381854258085554,0.015879890170732613,30.387972630952532,0.93542564,0.23273523151874542,0.23273523151874542,0.23273523151874542,0.3057895600795746,2.4996351584027695e-05,2.4996351584027695e-05,0.0002499635158402769
42,5.746855727557478,9.021998584457325,0.013908077024075212,1.0000112961078513,71.6409464510257,195.69807863235474,20.181887112165754,23.343820672286185,0.015493017670355345,30.551547652796696,0.93604535,0.23618333041667938,0.23618333041667938,0.23618333041667938,0.31061220169067383,2.2521051824393003e-05,2.2521051824393003e-05,0.00022521051824393002
43,5.662190545688976,8.955423709367135,0.013656333414399792,1.0000121326282108,71.7874466588131,195.95505285263062,20.28405899750559,23.402647018432617,0.0160813270087697,30.370597136648076,0.9352837,0.24367067217826843,0.24367067217826843,0.24367067217826843,0.31865066289901733,2.0138732803865287e-05,2.0138732803865287e-05,0.00020138732803865283
44,5.599949892411785,8.894120361364,0.013645026108781372,1.0000084066839428,72.10755076154273,196.16650223731995,20.285809755325317,23.452410848517168,0.015410004894396192,30.561890401338275,0.935898,0.22873464226722717,0.22873464226722717,0.22873464226722717,0.3100064694881439,1.7857455535904732e-05,1.7857455535904732e-05,0.00017857455535904733
45,5.5418980850321375,8.830127222037241,0.013728041191611638,1.0000082338491578,72.63908931528887,196.12406516075134,20.423053001102648,23.592662986956146,0.01536660509085969,30.568754145973607,0.9361454,0.23796379566192627,0.23796379566192627,0.23796379566192627,0.3242914378643036,1.5684939140664803e-05,1.5684939140664803e-05,0.00015684939140664803
46,5.487715447584289,8.780573008576157,0.013664339362500603,1.0000072433657032,72.59815225631093,196.42552399635315,20.243872554678667,23.412399367282266,0.015375331779451747,30.583358413294743,0.9362147,0.23312565684318542,0.23312565684318542,0.23312565684318542,0.30757802724838257,1.362853472593317e-05,1.362853472593317e-05,0.0001362853472593317
47,5.425242474834,8.72797793280742,0.013529173437167297,1.0000067388749796,72.86947511057122,196.13685846328735,20.351079740022357,23.4899589638961,0.01577599483885263,30.507023359599867,0.9360025,0.23476459085941315,0.23476459085941315,0.23476459085941315,0.3076845407485962,1.1695200513309785e-05,1.1695200513309785e-05,0.00011695200513309785
48,5.385707675102736,8.677043213739664,0.013685728789695472,1.0000042022208808,73.0286673064516,196.67963290214539,20.395101672724675,23.52862006739566,0.01584324512728735,30.504788950869912,0.9361797,0.22920651733875275,0.22920651733875275,0.22920651733875275,0.30595728754997253,9.891478293787679e-06,9.891478293787679e-06,9.891478293787678e-05
49,5.340126073472552,8.641039220516959,0.013555113529803984,1.0000041485953854,73.11835345803384,196.45876502990723,20.402786581139814,23.51802979017559,0.01609168772732741,30.45159119053891,0.9361078,0.23784105479717255,0.23784105479717255,0.23784105479717255,0.31093183159828186,8.223471292402879e-06,8.223471292402879e-06,8.223471292402878e-05
50,5.308488166070657,8.610991432375295,0.013533516474605354,1.0000031375586051,73.12601305922745,196.21376013755798,20.353568566472905,23.5138857490138,0.015476638720811982,30.573533660487126,0.93621165,0.23575231432914734,0.23575231432914734,0.23575231432914734,0.3070405423641205,6.696823516852934e-06,6.696823516852934e-06,6.696823516852933e-05
51,5.2716800647095825,8.576195950044733,0.013506166958089533,1.0000030951440146,73.22216778937552,196.7413685321808,20.38251485322651,23.51350982565629,0.015873689302488378,30.50361613223427,0.93610156,0.23886427283287048,0.23886427283287048,0.23886427283287048,0.308032751083374,5.3167006599613225e-06,5.3167006599613225e-06,5.3167006599613225e-05
52,5.241916439749978,8.550139922707059,0.013456115665550702,1.0000019275282617,73.39941116859173,196.45248365402222,20.38636841272053,23.51836028851961,0.015855719972597927,30.5116024017334,0.9361156,0.23385390639305115,0.23385390639305115,0.23385390639305115,0.3035939931869507,4.0877726206081886e-06,4.0877726206081886e-06,4.087772620608188e-05
53,5.21963834314137,8.525823206737124,0.013484115115305567,1.0000017670254722,73.47704492168367,196.1562418937683,20.365517390401738,23.506138400027627,0.01573610631749034,30.520242189106188,0.9363039,0.23586656153202057,0.23586656153202057,0.23586656153202057,0.3047915995121002,3.0141977022707035e-06,3.0141977022707035e-06,3.014197702270703e-05
54,5.210200672986739,8.510072103488408,0.013570030688433718,1.0000016024120175,73.57502648523982,196.6507830619812,20.445598288586265,23.593250124078047,0.015638585643548714,30.54205402575041,0.93617094,0.23902535438537598,0.23902535438537598,0.23902535438537598,0.3076150119304657,2.0996085426403836e-06,2.0996085426403836e-06,2.0996085426403836e-05
55,5.182481425682953,8.493428382006558,0.013419756239577894,1.0000007062870133,73.6274264942516,196.44343948364258,20.42545041285063,23.59044827912983,0.015400674708775784,30.57645707381399,0.9363916,0.23968835175037384,0.23968835175037384,0.23968835175037384,0.308630108833313,1.3470998219270543e-06,1.3470998219270543e-06,1.3470998219270543e-05
56,5.175088076755919,8.485321142083052,0.013429551761959414,1.000000600717658,73.65741650811557,196.46690678596497,20.370161357678864,23.530300843088252,0.015467175723690735,30.571500828391628,0.93630964,0.2381516546010971,0.2381516546010971,0.2381516546010971,0.308032751083374,7.592177914405926e-07,7.592177914405926e-07,7.5921779144059245e-06
57,5.164381844122955,8.474976571002351,0.013424692240464838,1.000000195256595,73.65739941970682,197.00453972816467,20.414447897358944,23.586082709463017,0.015311244360514377,30.605603519238922,0.9364552,0.2368910163640976,0.2368910163640976,0.2368910163640976,0.30374857783317566,3.379516578824942e-07,3.379516578824942e-07,3.379516578824942e-06
58,5.169387975082876,8.48070273877685,0.013414940157420584,1.0000000743656696,73.6611337213307,255.80574750900269,20.438256113152754,23.536366186643903,0.016309249214828014,30.388775624726946,0.9358142,0.2372630387544632,0.2372630387544632,0.2372630387544632,0.30426445603370667,8.472685250006014e-08,8.472685250006014e-08,8.472685250006013e-07
