epoch,train_loss_total,train_loss_det,train_loss_enh,val_loss_total,val_loss_det,val_loss_enh,val_psnr,val_ssim,val_iou,val_precision,val_recall,val_mAP50,lr_backbone,lr_det_head,lr_decoder
0,2.9607469007174174,8.510591897328695,0.12586284872392814,1.4656938743591308,5.643200149536133,0.03370538249611855,25.20588467915853,0.87945676,0.7279984819982654,0.5495247696922569,0.7987297490251712,0.2845298245175606,5e-05,5e-05,0.0005
1,1.58537100760142,4.975765557607015,0.05902178773780664,1.1911784466107687,4.514942089716594,0.02881900077064832,26.69362429300944,0.9082711,0.3939152681087992,0.7356247851209924,0.5694819288951954,0.9582997522819799,0.0001,0.0001,0.001
2,1.338002577384313,4.20591446240743,0.049681967017551266,1.0648294218381247,3.9683114878336587,0.02711671104033788,27.12305956522624,0.916201,0.589807084630365,0.18625670757359747,0.8754255963513753,0.2767760048803879,9.98292246503335e-05,9.98292246503335e-05,0.000998292246503335
3,1.2283945637543996,3.828945203145345,0.046260551462570826,1.0016188708941143,3.7782764561971027,0.02459635724623998,27.84683832804362,0.9187618,0.691361556544189,0.12323599332385271,0.028950645167872713,0.36699527857506786,9.931806517013612e-05,9.931806517013612e-05,0.0009931806517013613
4,1.1551393191019694,3.5756634470621744,0.04400066149483124,1.0251070666313171,3.670162493387858,0.029107454990347226,26.745876388549803,0.9129139,0.8892150606520351,0.7202718754973998,0.6534583468618791,0.5416030274144339,9.847001329696653e-05,9.847001329696653e-05,0.0009847001329696653
5,1.1059382184346518,3.3928915287653605,0.042735990102092426,0.929786229133606,3.5096214612325034,0.022786192211012045,28.465512440999348,0.92207754,0.0426738254037925,0.14387264830555313,0.47890327688029477,0.8257890939310316,9.729086208503174e-05,9.729086208503174e-05,0.0009729086208503173
6,1.0440540482203167,3.2440029900868734,0.03952534371862809,0.9520208994547527,3.571160484949748,0.023778878897428513,28.275959345499675,0.9146026,0.6503212075116881,0.6740474526030747,0.8389682976990269,0.1126868316633185,9.578866633275288e-05,9.578866633275288e-05,0.0009578866633275287
7,1.006892791112264,3.1187320273717245,0.03831463728845119,1.0792003607749938,3.508033666610718,0.03775936119258404,26.373271611531575,0.7075867,0.5000184130258225,0.6991069838402232,0.011559976664394678,0.8521224951138573,9.397368756032445e-05,9.397368756032445e-05,0.0009397368756032445
8,0.9776387388706207,3.0140029083887736,0.03748381462196509,0.8987351957956949,3.3554373741149903,0.02276477076113224,28.458338470458983,0.92450136,0.7718553404861286,0.637586763715858,0.9330694007137806,0.6653332308587904,9.185832391312644e-05,9.185832391312644e-05,0.0009185832391312643
9,0.945356232325236,2.9062214123408,0.03641119387000799,0.9087998477617899,3.410457811355591,0.02267082714786132,28.470532913208007,0.9226536,0.4149587415763417,0.41424813892174284,0.6835303660086856,0.5658336528335268,8.945702546981969e-05,8.945702546981969e-05,0.0008945702546981969
10,0.9181103531519572,2.8150914923350014,0.03550920437524716,0.894023536046346,3.3772156461079916,0.021858039125800133,28.792232182820637,0.9265509,0.22848363887963005,0.5638923945716355,0.8490498288821783,0.5694414000763902,8.678619553365659e-05,8.678619553365659e-05,0.0008678619553365659
11,0.887105404218038,2.7266886870066327,0.03417676556358735,0.8823795962333679,3.33627134958903,0.021512530980010828,28.793710072835285,0.9235139,0.5221889072535428,0.46464715875902995,0.6088461042816705,0.20938368410562858,8.386407858128706e-05,8.386407858128706e-05,0.0008386407858128706
12,0.8651930782000223,2.6421680959065754,0.03367594474057357,0.8816264208157857,3.336536471048991,0.02143191193540891,28.802756042480468,0.9258181,0.008712810891668333,0.15591957164893044,0.5943834380123046,0.6966096511842262,8.07106356344834e-05,8.07106356344834e-05,0.000807106356344834
13,0.8480310227076212,2.575450092315674,0.03329409936567147,0.8966075007120768,3.380382521947225,0.02205309891452392,28.72993944803874,0.9253485,0.797454298584324,0.18145595890515143,0.646748606672451,0.8922052206628949,7.734740790612135e-05,7.734740790612135e-05,0.0007734740790612134
14,0.8246517385641734,2.5021386507352195,0.03242239990085363,0.88640354235967,3.3178562609354656,0.02228322813908259,28.7913294728597,0.9257075,0.47103574544202426,0.8844406191776177,0.7048184446985001,0.3065867883639114,7.379736965185368e-05,7.379736965185368e-05,0.0007379736965185368
15,0.8059492361545563,2.4347432764371235,0.03190005724132061,0.8809925230344137,3.3567841116587323,0.020963568836450577,28.98250295003255,0.92730844,0.6959371248767204,0.662875082426492,0.8282041107342121,0.9115857638934887,7.008477123264848e-05,7.008477123264848e-05,0.0007008477123264848
