Model,Weights,PSNR_Avg,SSIM_Avg,PSNR_Light,SSIM_Light,PSNR_Moderate,SSIM_Moderate,PSNR_Dense,SSIM_Dense,Best_Epoch
Enh_BackARB (Best),best_backARB_enh_net_psnr.pt,31.27383040746053,0.9376185,33.3420174407959,0.9618235,31.128729972839356,0.93765444,29.350743808746337,0.91337746,N/A
Enh_BackARB (Final),final_backARB_enh_net_epoch60.pt,31.116474323272705,0.9229128,33.02876459121704,0.9619009,31.129284648895265,0.9375752,29.19137372970581,0.86926377,N/A
