Model,Weights,mAP50_Total,mAP50_Small,mAP50_Medium,mAP50_Large,mAP_Light,mAP_Moderate,mAP_Dense,mAP_Car_Total,mAP_Car_Light,mAP_Car_Moderate,mAP_Car_Dense,Best_Epoch
Baseline_YOLO_Vanilla (Best),best_YOLO_ONLY_BASE_mAP.pt,0.18457448482513428,0.14589764177799225,0.2865179479122162,0.38190171122550964,0.20296147465705872,0.19172346591949463,0.17385190725326538,0.7763808965682983,0.795576810836792,0.7759081721305847,0.7670854926109314,22
Baseline_YOLO_Vanilla (Final),final_YOLO_ONLY_BASE_epoch60.pt,0.1818719208240509,0.12936832010746002,0.3044445216655731,0.4052014946937561,0.19394217431545258,0.18531401455402374,0.1741449236869812,0.7655177712440491,0.777119517326355,0.7573111057281494,0.7513130307197571,22
