epoch,train_loss_total,train_loss_det,train_loss_enh,epoch_duration,val_loss_total,val_loss_det,val_loss_enh,val_psnr,val_ssim,val_prec_prox,val_mAP50,val_mAP,val_recall,lr_backbone,lr_det,lr_dec
0,49.26016365697018,82.02155453134854,0.1180726710625203,143.74901247024536,36.092426801982675,60.1212763535349,0.04914888955260578,21.705484340065404,0.79804504,0.027179362252354622,0.027179362252354622,0.027179362252354622,0.11721927672624588,1.0434064616132949e-05,1.0434064616132949e-05,0.00010434064616132938
1,28.199343890605675,46.96679452519432,0.04816516606446624,101.4361834526062,22.833506032040244,38.03049373626709,0.038022098327545745,23.918010059155915,0.88374585,0.1356271356344223,0.1356271356344223,0.1356271356344223,0.3417861759662628,2.801137565267452e-05,2.801137565267452e-05,0.00028011375652674513
2,19.18796107462581,31.951447621408303,0.04272937092953435,91.91646099090576,18.781421385313337,31.278472875293932,0.03584211902987016,24.375500377855804,0.9002108,0.17414312064647675,0.17414312064647675,0.17414312064647675,0.43141311407089233,5.20197016518341e-05,5.20197016518341e-05,0.000520197016518341
3,15.571981687157132,25.926410238570927,0.04033727189204816,92.03849291801453,16.022763478128535,26.682222943556937,0.03357241322335444,24.885590001156455,0.9051822,0.21666637063026428,0.21666637063026428,0.21666637063026428,0.41837841272354126,7.602274591345429e-05,7.602274591345429e-05,0.0007602274591345429
4,13.568785323618348,22.589580628565486,0.03759101350853062,91.49372434616089,15.7255294448451,26.188307912726152,0.031359861849954256,25.298024227744655,0.9039963,0.2419145405292511,0.2419145405292511,0.2419145405292511,0.4292682111263275,9.358562769740331e-05,9.358562769740331e-05,0.0009358562769740331
5,12.264862085210867,20.419073110837548,0.03354435753906408,92.56016802787781,14.813787284650301,24.670995662086888,0.027972933591196413,26.067541825143916,0.90828663,0.2631372809410095,0.2631372809410095,0.2631372809410095,0.43485739827156067,9.999999979212171e-05,9.999999979212171e-05,0.0009999999979212171
6,11.254035246409593,18.73658520898849,0.030209228142418644,91.75026941299438,14.162450050052843,23.585070710433158,0.028517487066748896,25.681014763681514,0.9133032,0.26130637526512146,0.26130637526512146,0.26130637526512146,0.4108339846134186,9.99151429413104e-05,9.99151429413104e-05,0.0009991514294131038
7,10.482652209769222,17.452188514243097,0.028346790059186448,91.4414279460907,14.732013664747539,24.536238720542507,0.0256745367752094,26.29265594482422,0.9184769,0.25199130177497864,0.25199130177497864,0.25199130177497864,0.40839746594429016,9.96613897237883e-05,9.96613897237883e-05,0.000996613897237883
8,9.88503479808102,16.45742428639092,0.02644962418625908,92.11881256103516,14.22142481803894,23.685122213865583,0.025877141687822968,26.605038793463457,0.92194396,0.2834169864654541,0.2834169864654541,0.2834169864654541,0.4755764603614807,9.923959876011988e-05,9.923959876011988e-05,0.0009923959876011988
9,9.42508558120847,15.69186459589154,0.02491609397458152,91.69632887840271,14.014432505557412,23.34109848424008,0.02443198197962422,26.899961571944388,0.9212419,0.26868167519569397,0.26868167519569397,0.26868167519569397,0.4469015300273895,9.86511972574114e-05,9.86511972574114e-05,0.000986511972574114
10,9.056276693613178,15.078361871474215,0.02314798419763769,91.3787260055542,13.98111535373487,23.286160619635332,0.023545858107115094,27.056388302853232,0.9170217,0.260964959859848,0.260964959859848,0.260964959859848,0.3857966661453247,9.78981761800939e-05,9.78981761800939e-05,0.000978981761800939
11,8.72712022682716,14.52994963068947,0.022875196043530416,92.1389992237091,14.012915046591507,23.335863163596706,0.028492165582352562,25.991811501352412,0.92240316,0.25471967458724976,0.25471967458724976,0.25471967458724976,0.3706853985786438,9.698308351312983e-05,9.698308351312983e-05,0.0009698308351312981
12,8.475218467204174,14.110245371313304,0.022677258436559322,91.73947668075562,13.906136826465005,23.16100371511359,0.02383526787161827,26.891411781311035,0.9235054,0.24016857147216797,0.24016857147216797,0.24016857147216797,0.3609558343887329,9.590901564043844e-05,9.590901564043844e-05,0.0009590901564043844
13,8.234960143468971,13.710488195329624,0.02166718919980442,91.44503927230835,13.872906295876755,23.1049939205772,0.024773698937343925,26.947114191557233,0.92411095,0.2767719328403473,0.2767719328403473,0.2767719328403473,0.40114626288414,9.467960686771277e-05,9.467960686771277e-05,0.0009467960686771276
14,8.03258949611628,13.373736683477802,0.02086786099280403,91.84175634384155,13.810542671304,23.002367170233477,0.02280460646081912,27.53840652265047,0.9257851,0.25549790263175964,0.25549790263175964,0.25549790263175964,0.37987878918647766,9.329901712507953e-05,9.329901712507953e-05,0.0009329901712507952
15,7.852701132574052,13.073880578283232,0.02093118315177231,91.79952359199524,13.998429436432687,23.315908708070452,0.02220899322511334,27.567057408784564,0.92602456,0.26238778233528137,0.26238778233528137,0.26238778233528137,0.46727779507637024,9.17719178912124e-05,9.17719178912124e-05,0.0009177191789121239
