epoch,train_loss_total,train_loss_det,train_loss_enh,epoch_duration,val_loss_total,val_loss_det,val_loss_enh,val_psnr,val_ssim,val_prec_prox,val_mAP50,val_mAP,val_recall,lr_backbone,lr_det,lr_dec
0,47.063513648173654,78.34548933752652,0.1405455338590571,194.6210639476776,66.82377160222907,111.3312305651213,0.06257666951339495,19.65031794497841,0.7414358,0.017361890524625778,0.017361890524625778,0.017361890524625778,0.2168000042438507,1.0434064616132949e-05,1.0434064616132949e-05,0.00010434064616132938
1,25.962235111427905,43.24328072467194,0.04066410143991062,194.8236265182495,21.043539800141986,35.05031412526181,0.033376669560215975,25.295103374280426,0.8815138,0.13672372698783875,0.13672372698783875,0.13672372698783875,0.43453893065452576,2.801137565267452e-05,2.801137565267452e-05,0.00028011375652674513
2,18.25714427625124,30.40615329921806,0.03362881676892408,195.06196427345276,17.448942648737056,29.06452219109786,0.02557136221347671,27.115234174226458,0.9034844,0.16573230922222137,0.16573230922222137,0.16573230922222137,0.46145564317703247,5.20197016518341e-05,5.20197016518341e-05,0.000520197016518341
3,15.031259011325417,25.031307461119745,0.031184882576632836,194.54121851921082,16.017875646290026,26.6807084585491,0.023624656133745845,27.752939073663008,0.908061,0.20107418298721313,0.20107418298721313,0.20107418298721313,0.4745383560657501,7.602274591345429e-05,7.602274591345429e-05,0.0007602274591345429
4,13.208550889663936,21.996083570498286,0.02725050510797755,191.93055987358093,14.818420284672788,24.671072558352822,0.03944030806030098,24.397241241053532,0.91310555,0.27029702067375183,0.27029702067375183,0.27029702067375183,0.5464277267456055,9.358562769740331e-05,9.358562769740331e-05,0.0009358562769740331
5,11.950738456181972,19.901305836943624,0.02488622106728509,192.14013600349426,14.824468386800666,24.6919584274292,0.023232215721356243,28.01953255502801,0.9011849,0.2524476647377014,0.2524476647377014,0.2524476647377014,0.522223711013794,9.999999979212171e-05,9.999999979212171e-05,0.0009999999979212171
6,10.937048474823046,18.213601055563803,0.022218559588361123,191.8664882183075,14.375845469926533,23.945331749163177,0.021614114508817072,28.742029340643633,0.9155008,0.2798306345939636,0.2798306345939636,0.2798306345939636,0.5848103165626526,9.99151429413104e-05,9.99151429413104e-05,0.0009991514294131038
7,10.199694143193643,16.98520605392217,0.021425323790015192,192.21276140213013,14.261514575857865,23.751636404740182,0.026330119783156795,27.56834165673507,0.9237546,0.23821869492530823,0.23821869492530823,0.23821869492530823,0.43822911381721497,9.96613897237883e-05,9.96613897237883e-05,0.000996613897237883
8,9.607749741652917,15.998701676305933,0.02132098613376948,192.4061779975891,13.993894551929674,23.303640967921208,0.02927336459489245,27.0808364466617,0.92332023,0.2717527151107788,0.2717527151107788,0.2717527151107788,0.45180708169937134,9.923959876011988e-05,9.923959876011988e-05,0.0009923959876011988
9,9.15396094172726,15.24346307527309,0.019706842864697163,192.49474382400513,14.377953692486411,23.948439598083496,0.022223371963359807,28.61716958096153,0.92822737,0.2244405299425125,0.2244405299425125,0.2244405299425125,0.4556097686290741,9.86511972574114e-05,9.86511972574114e-05,0.000986511972574114
