epoch,train_loss_total,train_loss_det,train_loss_enh,epoch_duration,val_loss_total,val_loss_det,val_loss_enh,val_psnr,val_ssim,val_prec_prox,val_mAP50,val_mAP,val_recall,lr_backbone,lr_det,lr_dec
0,45.89380577739129,76.41781435042714,0.10778823768177002,109.79921007156372,32.42663235413401,54.01102828979492,0.050035330025773296,21.75885245674535,0.80337405,0.037714239209890366,0.037714239209890366,0.037714239209890366,0.20257256925106049,1.0434064616132949e-05,1.0434064616132949e-05,0.00010434064616132938
1,25.59867666208632,42.63194039622818,0.04877840840844525,109.57646298408508,21.335729849965947,35.53218123787328,0.04105158003145143,23.352622082358913,0.87815106,0.1299135535955429,0.1299135535955429,0.1299135535955429,0.40222200751304626,2.801137565267452e-05,2.801137565267452e-05,0.00028011375652674513
2,18.303334418509074,30.476514708659494,0.04356226375250607,109.30964469909668,18.620487526843423,31.009247729652806,0.0373453024382654,24.071883954499896,0.8935239,0.16859251260757446,0.16859251260757446,0.16859251260757446,0.42736726999282837,5.20197016518341e-05,5.20197016518341e-05,0.000520197016518341
3,15.177992470959511,25.270116169250873,0.039805403078517945,110.14289617538452,16.36690394501937,27.25656675037585,0.03240800511680151,25.04553478642514,0.90767884,0.22620679438114166,0.22620679438114166,0.22620679438114166,0.5203849077224731,7.602274591345429e-05,7.602274591345429e-05,0.0007602274591345429
4,13.331361636099023,22.19449984690986,0.03665294333836969,109.7303717136383,16.1174065815775,26.82794990037617,0.05158990258841138,20.71311744890715,0.88081086,0.2470759153366089,0.2470759153366089,0.2470759153366089,0.5235470533370972,9.358562769740331e-05,9.358562769740331e-05,0.0009358562769740331
5,12.105815149026231,20.15471981610624,0.032456960426906246,109.61020255088806,14.754787294488205,24.569062057294342,0.033373826771582425,24.327232260453073,0.9096314,0.25733980536460876,0.25733980536460876,0.25733980536460876,0.5242204070091248,9.999999979212171e-05,9.999999979212171e-05,0.0009999999979212171
6,11.075149398612378,18.438588934632303,0.029989062475630296,109.8299069404602,14.635142138129787,24.373790791160182,0.02716767430109413,26.33749600460655,0.91619843,0.24467910826206207,0.24467910826206207,0.24467910826206207,0.4687899351119995,9.99151429413104e-05,9.99151429413104e-05,0.0009991514294131038
7,10.317406846438082,17.176863987244037,0.028220219371203906,109.92071557044983,14.347594449394627,23.889988698457415,0.0340015689695352,24.294072151184082,0.90735555,0.2647380232810974,0.2647380232810974,0.2647380232810974,0.4985772371292114,9.96613897237883e-05,9.96613897237883e-05,0.000996613897237883
8,9.720464377567685,16.183346900072966,0.02613965657519229,110.26354598999023,14.437551297639546,24.04639778639141,0.024280013859664138,27.05795669555664,0.92159706,0.2533671259880066,0.2533671259880066,0.2533671259880066,0.48843032121658325,9.923959876011988e-05,9.923959876011988e-05,0.0009923959876011988
9,9.266284505401659,15.427033449041433,0.025160158663217365,110.14444947242737,14.015258199290225,23.340924513967412,0.026757203630710904,26.322738948621247,0.91965556,0.28412219882011414,0.28412219882011414,0.28412219882011414,0.6617830991744995,9.86511972574114e-05,9.86511972574114e-05,0.000986511972574114
10,8.909876328650688,14.834260025741912,0.023299829431497096,109.84846186637878,14.128114097996763,23.53154757148341,0.022962534359019054,27.54729461669922,0.9215065,0.26038435101509094,0.26038435101509094,0.26038435101509094,0.5041215419769287,9.78981761800939e-05,9.78981761800939e-05,0.000978981761800939
11,8.592270807786422,14.305309298643872,0.022712133065753596,109.84531474113464,13.852281821401496,23.06920357754356,0.026897832408155267,25.99033942975496,0.9215176,0.2606326937675476,0.2606326937675476,0.2606326937675476,0.5518458485603333,9.698308351312983e-05,9.698308351312983e-05,0.0009698308351312981
12,8.34464644937306,13.89326113593242,0.02172355973351525,110.03714203834534,14.042222913942839,23.388104689748662,0.023398712669548235,27.008719645048444,0.92356515,0.28238391876220703,0.28238391876220703,0.28238391876220703,0.4546322524547577,9.590901564043844e-05,9.590901564043844e-05,0.0009590901564043844
13,8.104781171744893,13.493925217924447,0.021064315522585916,110.27793145179749,13.987679217991076,23.298689189710114,0.021162860046483968,28.02532612650018,0.92739224,0.27308425307273865,0.27308425307273865,0.27308425307273865,0.4676699638366699,9.467960686771277e-05,9.467960686771277e-05,0.0009467960686771276
14,7.900075604549396,13.152875398020011,0.020875105406610195,109.8576762676239,14.140320125379061,23.54980190176713,0.0260960272464313,26.808387354800576,0.9249117,0.27873754501342773,0.27873754501342773,0.27873754501342773,0.45486536622047424,9.329901712507953e-05,9.329901712507953e-05,0.0009329901712507952
