epoch,train_loss_total,train_loss_det,train_loss_enh,epoch_duration,val_loss_total,val_loss_det,val_loss_enh,val_psnr,val_ssim,val_prec_prox,val_mAP50,val_mAP,val_recall,lr_backbone,lr_det,lr_dec
0,49.07535592141944,81.71365393516038,0.11790440863342869,177.63275337219238,36.47652093987716,60.76693108207301,0.04090100820911558,22.710370314748662,0.78502554,0.020240312442183495,0.020240312442183495,0.020240312442183495,0.142445370554924,1.0434064616132949e-05,1.0434064616132949e-05,0.00010434064616132938
1,28.36432044259433,47.24829065986562,0.038362302113803204,177.01077103614807,22.99202527497944,38.300173357913366,0.029800716346423877,25.701002171165065,0.88167936,0.12139477580785751,0.12139477580785751,0.12139477580785751,0.43816879391670227,2.801137565267452e-05,2.801137565267452e-05,0.00028011375652674513
2,19.302699411924355,32.14905980089242,0.03315688404882309,177.51539731025696,18.216575647655286,30.3438081741333,0.0257247678543392,26.82609919497841,0.89222634,0.18527191877365112,0.18527191877365112,0.18527191877365112,0.5344930291175842,5.20197016518341e-05,5.20197016518341e-05,0.000520197016518341
3,15.687199209177383,26.125260529473284,0.030105678061005836,177.9433307647705,16.7901545700274,27.95721927442049,0.039556122532016354,24.194531942668714,0.9078312,0.22860576212406158,0.22860576212406158,0.22860576212406158,0.5809909105300903,7.602274591345429e-05,7.602274591345429e-05,0.0007602274591345429
4,13.689881304588438,22.799762923142005,0.025057485058529998,177.64699912071228,15.496528299231278,25.812706294812653,0.022259857456542943,28.159735679626465,0.9157987,0.2858043611049652,0.2858043611049652,0.2858043611049652,0.5585705637931824,9.358562769740331e-05,9.358562769740331e-05,0.0009358562769740331
5,12.330519498328805,20.535577182112068,0.022931714327626373,177.34714150428772,14.991734554893092,24.969911575317383,0.024467508994827147,27.938413921155426,0.92121756,0.25822609663009644,0.25822609663009644,0.25822609663009644,0.5285744667053223,9.999999979212171e-05,9.999999979212171e-05,0.0009999999979212171
6,11.332792973443633,18.872690818152833,0.022945189593085395,177.13681292533875,14.467932274467067,24.100164463645534,0.019582429753714485,28.928528434351872,0.92587924,0.2855222523212433,0.2855222523212433,0.2855222523212433,0.5627967119216919,9.99151429413104e-05,9.99151429413104e-05,0.0009991514294131038
7,10.536155858383657,17.546659610114503,0.020399273094373716,177.77530670166016,14.27952356087534,23.78595347153513,0.019877448285880842,29.01602453934519,0.9263779,0.2786824107170105,0.2786824107170105,0.2786824107170105,0.5610736608505249,9.96613897237883e-05,9.96613897237883e-05,0.000996613897237883
8,9.937871932983398,16.54970494557324,0.020121469632445085,177.4809010028839,14.583371727090134,24.2932455163253,0.018559699534977738,29.465510920474404,0.9277728,0.283039391040802,0.283039391040802,0.283039391040802,0.537074089050293,9.923959876011988e-05,9.923959876011988e-05,0.0009923959876011988
9,9.477312118655835,15.782423366947233,0.019644270455435524,178.14670515060425,14.270660513325742,23.76982990064119,0.021905100610303253,28.479263707211143,0.9280491,0.2813774645328522,0.2813774645328522,0.2813774645328522,0.5224467515945435,9.86511972574114e-05,9.86511972574114e-05,0.000986511972574114
