epoch,train_loss_total,train_loss_det,train_loss_enh,train_w_det,train_w_enh,epoch_duration,val_loss_total,val_loss_det,val_loss_enh,val_psnr,val_ssim,val_prec_prox,val_mAP50,val_mAP,val_recall,lr_backbone,lr_det,lr_dec
0,81.50153201351345,81.41248280874987,0.10071896312051806,1.0000027162154266,1.0128225168464327,176.0584635734558,60.01834799114027,60.0042152906719,0.04387360566148633,22.824871414586116,0.80524063,0.019610591232776642,0.019610591232776642,0.019610591232776642,0.15835809707641602,1.0434064616132949e-05,1.0434064616132949e-05,0.00010434064616132938
1,47.031300906477306,47.060653492201084,0.0380471931350035,1.0000059386032127,1.0733426743913967,176.66269159317017,37.61682189138312,37.699686200995195,0.03665816715281261,24.49515202170924,0.8720336,0.12560522556304932,0.12560522556304932,0.12560522556304932,0.45949557423591614,2.801137565267452e-05,2.801137565267452e-05,0.00028011375652674513
2,31.996766205491692,32.16981310829473,0.032840114916006226,1.0000174307150527,1.2411678078406283,176.23338961601257,30.59785100033409,30.886046208833392,0.02624770400947646,27.169189252351458,0.8920831,0.17582789063453674,0.17582789063453674,0.17582789063453674,0.5221427083015442,5.20197016518341e-05,5.20197016518341e-05,0.000520197016518341
3,25.665272942904767,26.088931056773028,0.03159881152831555,1.000033577407789,1.6159724219465703,176.4546983242035,26.52409940016897,27.124109418768633,0.02426668359456878,27.601438622725638,0.9137974,0.20086926221847534,0.20086926221847534,0.20086926221847534,0.5300984382629395,7.602274591345429e-05,7.602274591345429e-05,0.0007602274591345429
4,21.97249634363061,22.761200124567207,0.02665373985874569,1.0000496239497745,2.3636804428593865,176.4448320865631,24.484667928595293,25.496346925434313,0.0208718178695754,28.66163585060521,0.9046739,0.24620655179023743,0.24620655179023743,0.24620655179023743,0.5487375259399414,9.358562769740331e-05,9.358562769740331e-05,0.0009358562769740331
5,19.304707705040336,20.524034766194216,0.02413292241437495,1.0000459841426264,3.74617514789665,176.09621810913086,23.675376252124185,25.136942160756963,0.019109677523374557,29.264100526508532,0.9243766,0.24219010770320892,0.24219010770320892,0.24219010770320892,0.5422883629798889,9.999999979212171e-05,9.999999979212171e-05,0.0009999999979212171
6,17.161083267773954,18.812771819601984,0.023008590908633504,1.0000542465795919,6.059101108473296,176.82332968711853,23.36629410793907,25.22515673386423,0.022316992625986274,28.228421110855905,0.9282493,0.2356967180967331,0.2356967180967331,0.2356967180967331,0.5391039848327637,9.99151429413104e-05,9.99151429413104e-05,0.0009991514294131038
7,15.454123084447975,17.49628615902509,0.022323995027224004,1.0000582337379456,9.64517635163095,176.5174458026886,21.764402941653604,23.996709271481162,0.02025483940777026,29.26736545562744,0.899406,0.2784743309020996,0.2784743309020996,0.2784743309020996,0.5903143882751465,9.96613897237883e-05,9.96613897237883e-05,0.000996613897237883
8,14.120636416826876,16.51002552367303,0.020723607634897796,1.0000558583340302,15.01362144834943,176.63060688972473,21.507062836697227,24.057675963953923,0.019605212305721483,29.413324556852643,0.92818195,0.2807251811027527,0.2807251811027527,0.2807251811027527,0.5200119614601135,9.923959876011988e-05,9.923959876011988e-05,0.0009923959876011988
9,13.06064702051934,15.691190695687895,0.0208306448522453,1.0000687129445212,22.214637660681266,176.95134902000427,21.474634145435534,24.187992748461273,0.020891892772756125,28.955688024822035,0.92612845,0.2533678412437439,0.2533678412437439,0.2533678412437439,0.5032831430435181,9.86511972574114e-05,9.86511972574114e-05,0.000986511972574114
